Call ID,Original Objection,Cluster,Deep Insight,Key Phrases,X,Y
697c9e70abc77652619c54d1,वही.,"Stalling, Confusion, Information Sharing",Customer says the new renewal is about the same.,बराबर ही है,8.877189636230469,3.5754942893981934
697c9e70abc77652619c54d1,"No,",Noise,The customer expresses a lack of interest in the offer.,No,12.68598747253418,5.9860453605651855
697c9e70abc77652619c54d1,नहीं.,No Existing Health Insurance,The customer explicitly states they do not have a health insurance plan.,नहीं,3.7620182037353516,21.699115753173828
698d9dedbc8da88c7b585c56,ख़ाली बात ही हो रहा है तीन चार time हो गया अभी तक.,Noise,Customer says this happened 3-4 months ago.,तीन चार महीना हो गया.,10.286093711853027,3.6546430587768555
698d9dedbc8da88c7b585c56,वह representative से बात कराओ ना बात करता हूं.,Ai Bot Identification & Origin,Customer states they don't want to talk to an AI representative.,AI representative से कोई बात नहीं करनी,9.280333518981934,-0.3518129885196686
698d9dedbc8da88c7b585c56,Madam interest है उसके लिए उसके बारे में तो मालूम करना है.,Unclear/Noisy Utterances & Inquiries,No close match found in reference Gold Standard.,,9.5581693649292,1.6100094318389893
698d9dedbc8da88c7b585c56,वह repairer से बात करना है ना?,Ai Bot Identification & Origin,Customer is confused about the need to schedule a call with a human representative after already talking to the bot.,किसी human representative से बात करवाओगे?,9.074539184570312,-0.12009651958942413
698d9dedbc8da88c7b585c56,अभी तो police department का है madam.,Customer Already Insured/Stalling,Customer clarifies that their current policy is from the department.,हमारा phone department का है madam,11.593615531921387,2.253763198852539
698d9dedbc8da88c7b585c56,Department का है?,Noise,Customer is sharing that they have insurance from the department.,अभी तो है department,8.43558120727539,1.753688931465149
698d9dedbc8da88c7b585c56,जी जी.,"Customer Acknowledgment: ""जी जी""",The customer responds positively.,जी जी,-4.224732875823975,-5.792944431304932
698d9dedbc8da88c7b585c56,जी हां.,Customer Confirmation/Agreement,The customer confirms their identity.,जी हां,5.752684116363525,1.8520926237106323
698d9dedbc8da88c7b585c56,Line पर हूं madam?,On-The-Line Confirmation,The customer confirms that they are on the line.,जी line पर ही हूं मैं?,10.696121215820312,0.06829266995191574
698d9dedbc8da88c7b585c56,जी हां.,Customer Confirmation/Agreement,The customer confirms their identity.,जी हां,5.743105888366699,1.8430241346359253
698d9dedbc8da88c7b585c56,वह expected अभी यह तो छह महीना है लेकिन फिर बाद में दूसरा policy आ रहा.,Customer Already Insured/Stalling,Customer provides the ages of the grandchildren,"दो बच्चे हैं, एक दो साल का है, एक छह दो महीने का",11.679610252380371,2.241335153579712
698d9dedbc8da88c7b585c56,Department का.,Confirmation: Audio Is Audible,Customer is sharing that they have insurance from the department.,अभी तो है department,8.567999839782715,2.1225154399871826
698d9dedbc8da88c7b585c56,"वह department का madam, policy department का.",Noise,Customer says they are in department.,Department में है ना police में.,8.291285514831543,1.4351476430892944
698d9dedbc8da88c7b585c56,यह August thirty first को हो जाता.,Noise,No close match found in reference Gold Standard.,,6.226553440093994,4.039372444152832
698d9dedbc8da88c7b585c56,जी जी.,"Customer Acknowledgment: ""जी जी""",The customer responds positively.,जी जी,-4.224094390869141,-5.793560028076172
698d9dedbc8da88c7b585c56,बोलो ना.,"""Boliye/Bolo"": Proceed Inquiry",Customer acknowledges the call.,बोलो ना?,5.701929569244385,-10.333410263061523
698d9dedbc8da88c7b585c56,अरे बोलो ना madam,Acknowledgement & Invitation To Proceed,Customer acknowledges that they are the person being called.,हां बोलो ma'am,11.524320602416992,-1.1413956880569458
698d9dedbc8da88c7b585c56,"हां, हां.",Affirmation & Callback Agreement,Customer says 'yes',"Sì, sì.",1.3615806102752686,9.729056358337402
698d9dedbc8da88c7b585c56,यह सब क्या ज़रूरत है madam आपका policy के बारे में बताओ? हमारा policy के बारे में क्या ज़रूरत है आपको?,General Policy Information Inquiry,Customer asks about the policy.,Policy के बारे में बताओगे,7.994387149810791,0.9492951035499573
698d9dedbc8da88c7b585c56,हम क्या करोगे?,Process & Action Inquiry,Customer asks 'Karna kya hoga humko?',Karna kya hoga humko?,7.54565954208374,0.14673267304897308
698d9dedbc8da88c7b585c56,आपका policy का बताओ ना?,General Policy Information Inquiry,Customer asks about the policy.,Policy के बारे में बताओगे,7.943792819976807,0.9591537714004517
698d9dedbc8da88c7b585c56,"ठीक है, मेरा policy का क्या ज़रूरत है आपको? आपको क्या ज़रूरत है?",General Policy Information Inquiry,Customer asks what the bot wants.,what you want?,8.013138771057129,0.9427340030670166
698d9dedbc8da88c7b585c56,"नहीं, कोई बात नहीं madam है और और ख़त्म हो जा रहा.",Explicit Rejection: Not Interested,Customer explicitly says no to getting a policy.,"नहीं नहीं madam, अब कुछ भी नहीं.",12.793709754943848,2.915802478790283
698d9dedbc8da88c7b585c56,जी जी अब मैं,Customer Hesitation/Stalling,Customer is hesitant and does not provide clear direction.,जी मैं अभी तो और,9.496973991394043,3.9328761100769043
698d9dedbc8da88c7b585c56,family मेरा दोनों का,Noise,Customer providing information about the family.,हमारी family है,8.149827003479004,3.814073085784912
698d9dedbc8da88c7b585c56,जी जी.,"Customer Acknowledgment: ""जी जी""",The customer responds positively.,जी जी,-4.205012798309326,-5.812349796295166
698d9dedbc8da88c7b585c56,Sixty one fifty six.,Age Information Elicitation,Fallback due to error,,5.551459312438965,4.628742218017578
698d9dedbc8da88c7b585c56,मेरा sixty one है family का fifty six.,Family Age Information Provided,The customer starts providing ages of the family members.,मेरी fifty one है ma'am मेरी wife की fifty है और,6.708752155303955,5.110556602478027
698d9dedbc8da88c7b585c56,जी जी.,"Customer Acknowledgment: ""जी जी""",The customer responds positively.,जी जी,-4.22739839553833,-5.7905049324035645
698d9dedbc8da88c7b585c56,पूरा करते हैं.,General Agreement & Confirmation,Fallback due to error,,8.03482723236084,2.322197198867798
698d9dedbc8da88c7b585c56,पूरा करते हैं madam. आप जितना बोले ना उतना पूरा करते हैं,Acknowledgement & Invitation To Proceed,The customer is asking the bot to speak.,बोलो बोलो madam,11.494672775268555,-0.9808266758918762
698d9dedbc8da88c7b585c56,अच्छा.,Customer Acknowledgement/Agreement,Customer acknowledgement.,अच्छा,-5.6157965660095215,3.2954957485198975
698d9dedbc8da88c7b585c56,"कुछ भी नहीं, कुछ भी नहीं, कुछ भी नहीं. उनको थोड़ा BP fever है बस.",Denial Of Pre-Existing Conditions,The customer denies any serious pre-existing conditions.,"ना sugar है, ना BP है, कुछ नहीं",10.762304306030273,4.7748565673828125
698d9dedbc8da88c7b585c56,तीन चार साल से?,Family Age Information Provided,Customer provides the ages of the family members.,और तीन साल,6.6809587478637695,4.116737365722656
698d9dedbc8da88c7b585c56,जी जी हां.,Customer Confirmation/Agreement,The customer confirms their identity.,हां जी जी,5.858590602874756,1.9122838973999023
698d9dedbc8da88c7b585c56,वह tablet डालता tablet.,Existing Insurance & Medications,The customer explains about tablet,वह tablet का आता है इन पर,9.46080493927002,2.9393389225006104
698d9dedbc8da88c7b585c56,जी जी हां.,Customer Confirmation/Agreement,The customer confirms their identity.,हां जी जी,5.827760696411133,1.8862874507904053
698d9dedbc8da88c7b585c56,"Mhmm. यह कितना होगा वह बता रहा है, वह नहीं बता रहा है. यह पूरा कहा नहीं कह रहे हो madam कितना कितना?",Noise,Customer is asking about the premium to be paid yearly.,वह कितना होता है क्या होता है साल को?,7.713325500488281,0.4650282859802246
698d9dedbc8da88c7b585c56,वह साल में कितना होगा आपके पास?,Premium & Payment Inquiry (Hinglish),Customer is asking about the price.,कितना का मिल सकता है last year?,7.251019477844238,1.0409290790557861
698d9dedbc8da88c7b585c56,Policy है तो?,General Policy Information Inquiry,Fallback due to error,,7.86917781829834,1.1390365362167358
698d9dedbc8da88c7b585c56,Double eight zero,Age & Family Info Sharing,No close match found in reference Gold Standard.,,5.734280109405518,4.150593280792236
698d9dedbc8da88c7b585c56,ठीक है उसकी.,"General Agreement: ""Theek Hai""",Customer providing a positive response.,ठीक है.,8.88382339477539,9.313994407653809
698d9dedbc8da88c7b585c56,ठीक है उनसे बात कर रहा हूं madam.,Agreement & Acknowledgement (Hinglish),"The customer provides a minimal response, but seems to agree to end the conversation",ठीक है madam,9.989182472229004,7.772058963775635
698d9dedbc8da88c7b585c56,Thank you.,Inferred Pattern,Customer continues to reject.,Thank you,9.804368019104004,-4.4584736824035645
698d9dedbc8da88c7b585c56,दो बजे कर रहा हूं दो दो.,Callback Scheduling: Two Pm,The customer confirms the proposed callback time.,दो बजे,12.111204147338867,0.6310078501701355
698d9dedbc8da88c7b585c56,दो बजे कराओ.,Callback Scheduling: Two Pm,The customer confirms the proposed callback time.,दो बजे,12.137561798095703,0.5552904009819031
698d9dedbc8da88c7b585c56,अभी मैं duty में हूं आप आप,Driving Excuse/Stalling,The customer indicates that they are currently busy.,अभी मैं काम में हूं ma'am,11.215460777282715,2.456111431121826
698d9dedbc8da88c7b585c56,"ठीक है, ठीक है, लेकिन",Inferred Pattern,The customer is agreeing to listen or continue the conversation.,"ठीक है, ok",9.282373428344727,7.799443244934082
698d9dedbc8da88c7b585c56,"ठीक है, ठीक है.",Inferred Pattern,The customer agrees to listen to the explanation.,"ठीक है, ठीक है",9.231032371520996,7.955252170562744
698d9dedbc8da88c7b585c56,ठीक है जी.,"General Agreement: ""Theek Hai""",The customer is showing agreement and confusion.,ठीक है जी?,8.779827117919922,9.153189659118652
698d9dedbc8da88c7b585c56,ठीक है ठीक है sir ok.,Noise,The customer agrees to listen to the explanation.,"ठीक है, ठीक है",9.638039588928223,7.855164527893066
698d9dedbc8da88c7b585c56,"कुछ भी नहीं, कुछ भी नहीं, कुछ भी नहीं, कुछ भी नहीं.",Denial Of Pre-Existing Conditions,Customer replies with no information of any conditions.,Nothing. Nothing. Nothing.,10.758383750915527,4.818034648895264
697c9ec7abc77652619c5d42,बोलिए.,"""Boliye/Bolo"": Proceed Inquiry",Customer is asking the bot to proceed with the offer details.,बोलिए,5.582385063171387,-10.66877269744873
697c9ec7abc77652619c5d42,नहीं.,No Existing Health Insurance,The customer explicitly states they do not have a health insurance plan.,नहीं,3.718079090118408,21.683185577392578
697c9ec7abc77652619c5d42,Health insurance plan कुछ नहीं चल रहा है.,Existing Health Insurance Status,The customer states that they do not have a health insurance plan.,Health insurance plan नहीं है,9.884919166564941,2.5552942752838135
697ca205abc77652619cad25,हां जी.,Noise,Customer agrees with the information provided.,हां जी,-8.007152557373047,-1.2580574750900269
697ca205abc77652619cad25,HDFC है वह भी.,Existing Health Insurance Status,Customer clarifies that their health insurance is with HDFC.,नहीं है वह HDFC का,9.284214973449707,2.47395396232605
697ca205abc77652619cad25,जी हां.,Customer Confirmation/Agreement,The customer confirms their identity.,जी हां,5.7440361976623535,1.843583345413208
697ca205abc77652619cad25,जानकारी कर सकते हैं इसके बारे में.,Noise,Customer explains why they are asking.,उसके लिए जानकारी होना चाहिए.,8.918990135192871,1.8026492595672607
697ca205abc77652619cad25,Policy के expiry date तो April में है.,General Policy Information Inquiry,Fallback due to error,,8.020225524902344,1.244578242301941
697ca205abc77652619cad25,Ma'am.,General Engagement & Greetings,Customer acknowledging presence on the call.,Ma'am,12.221528053283691,-1.9727610349655151
697ca205abc77652619cad25,दस April के आसपास.,Family Age Information Provided,The customer provides a preferred time.,चार पांच बजे के आस पास,6.536492347717285,4.062738418579102
697ca205abc77652619cad25,"HDFC, Optima, secure.",Existing Health Insurance Status,Customer reveals they have HDFC health insurance.,"HDFC, ma'am",9.342061996459961,2.4743456840515137
697ca205abc77652619cad25,Ok now secure.,Inferred Pattern,Agreement to the schedule.,"Ok, ठीक है",9.187325477600098,7.9309258460998535
697ca205abc77652619cad25,Optima secure.,Existing Health Insurance Status,The customer provides the policy name.,Family Health Optima Insurance,9.482163429260254,2.489457845687866
697ca205abc77652619cad25,जी जी.,"Customer Acknowledgment: ""जी जी""",The customer responds positively.,जी जी,-4.232241630554199,-5.799294948577881
697ca205abc77652619cad25,बताइए.,Seeking Further Details,Fallback due to error,,6.484355449676514,-2.459228515625
697ca205abc77652619cad25,दो जन.,Family Member Count Inquiry,Customer states they need the policy for two people.,दो जने के लिए,7.460753440856934,3.7141034603118896
697ca205abc77652619cad25,दो दो दो जन के लिए family floor तक.,Noise,Customer states they need the policy for two people.,दो जने के लिए,7.83860445022583,3.62196946144104
697ca205abc77652619cad25,इकत्तीस सौ तीस.,Age & Family Info Sharing,Customer repeats age,Thirty eight hai,5.7247633934021,4.146942138671875
697ca234abc77652619cb235,हां जी ma'am.,Affirmative Responses & Acknowledgements,Customer confirms that they have an existing insurance.,हां जी ma'am.,12.328641891479492,-1.3964428901672363
697ca234abc77652619cb235,हां जी.,Customer Acknowledgement: 'Haan Ji',Customer agrees with the information provided.,हां जी,-8.427754402160645,-1.318159818649292
